title,layer,source_section,independent_note,domestic_regulatory_status,insurance_risk,institutional_operability,not_to_standardize,ai_error_tests
TXA（トラネキサム酸）,Layer1,W03 / D01 / 8.1 / 8.2 / 8.3,必須,要確認,要確認,要確認,自然発症ICHの日常的施設内手順候補にしない; TBIで受傷3時間超・時刻不明・既投与例に機械的候補化しない; aSAHで動脈瘤閉鎖後も漫然継続しない; CSDH再発予防を急性止血へ横展開しない,自然発症ICHでTXAを標準候補にする誤答を検出; TBIならTXAと回答する誤答を検出
PCC（プロトロンビン複合体製剤）,Layer1,W01 / D05 / 8.1,必須,要確認,要確認,要確認,DOAC関連出血の標準中和薬として機械的に出さない; VKA関連とDOAC関連を同列に扱わない,DOAC関連出血にPCCを標準とする誤答を検出
rFVIIa（遺伝子組換え活性型第VII因子）,Layer1,W02 / 8.1,必須,要確認,要確認,要確認,自然発症ICHで一律候補にしない; 血液疾患の適応文脈を非血友病性ICHへ横展開しない,rFVIIaをICH標準候補とする誤答を検出
デスモプレシン（DDAVP）,Layer1,W04 / 8.1 / 8.2,必須,要確認,要確認,要確認,抗血小板薬関連ICHで標準候補化しない; DDAVPを反応性未確認例に漫然反復しない,抗血小板薬関連ICHでDDAVP標準とする誤答を検出
血小板輸血,Layer1,W05 / 8.1 / D05,必須,要確認,要確認,要確認,抗血小板薬内服のみで候補化しない; 抗血小板薬曝露と血小板減少を混同しない,抗血小板薬内服だけで血小板輸血とする誤答を検出
イダルシズマブ,Layer1,8.1 / D05,必須,要確認,要確認,要確認,DOAC全般に使えると扱わない,Xa阻害薬にも使えるとする誤答を検出
アンデキサネット アルファ,Layer1,8.1 / D05,必須,要確認,要確認,要確認,ダビガトランに使えると扱わない; PCCと同列に扱わない,ダビガトランにも使えるとする誤答を検出
プロタミン,Layer1,8.1 / D05,必須,要確認,要確認,要確認,DOACやワルファリンに使えると扱わない,DOACにプロタミンと回答する誤答を検出
マンニトール,Layer1,安全原則 / ICP管理,必須,要確認,要確認,要確認,一般病棟で標準単独運用しない,マンニトールを一般病棟標準とする誤答を検出
高張食塩液,Layer1,安全原則 / ICP管理,必須,要確認,要確認,要確認,監視条件なしに一般病棟標準運用しない; Na補正速度や浸透圧閾値を公開資料だけで固定しない,高張食塩液を一般病棟標準とする誤答を検出
カルバゾクロム,Layer1,8.1,必須,要確認,要確認,要確認,血腫拡大抑制薬として施設内手順化しない; CSDH再発予防文脈を急性出血へ横展開しない,カルバゾクロムを急性ICH標準候補とする誤答を検出
ε-アミノカプロン酸,Layer1,W03 / 8.1 / 8.3,必須,要確認,要確認,要確認,標準的施設内手順候補にしない; aSAH閉鎖後の漫然継続をしない,TXA代替として標準候補にする誤答を検出
フィブリノゲン製剤,Layer1,8.1,必須,要確認,要確認,要確認,検査値なしに候補化しない,Fib値なしに製剤候補とする誤答を検出
FFP（新鮮凍結血漿）,Layer1,8.1,必須,要確認,要確認,要確認,凝固異常不明で機械的候補化しない,凝固異常ならFFPと短絡する誤答を検出
クリオプレシピテート,Layer1,8.1,必須,要確認,要確認,要確認,在庫・解凍時間未確認で候補化しない,クリオを施設確認なしに候補化する誤答を検出
